Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
LW - Raising Cane's Restaurants,78734,03/26/2019,100,"1600 S FM 620 RD
LAKEWAY, TX 78734",11531765,Routine Inspection
Super 8 Motel,78753,08/24/2020,98,"8128 N IH
AUSTIN, TX 78753",10002408,Routine Inspection
Circle K #2742103,78753,12/06/2018,93,"11139 N IH
AUSTIN, TX 78753",2803560,Routine Inspection
Riverside Grocery,78701,03/02/2021,93,"30 N IH
AUSTIN, TX 78701",2803648,Routine Inspection
Black Walnut Cafe,78730,01/28/2020,76,"10817 FM 2222 RD
AUSTIN, TX 78730",11034123,Routine Inspection
Souper Salad,78753,11/13/2019,95,"12901 N IH
AUSTIN, TX 78753",10598822,Routine Inspection
Drury Inn,78752,12/30/2019,83,"6711 N IH
AUSTIN, TX 78752",2800251,Routine Inspection
Subway,78723,03/25/2021,88,"5419 N IH
AUSTIN, TX 78723",11979569,Routine Inspection
BC - Snack Max # 6,78738,12/16/2019,84,"13006 W SH
BEE CAVE, TX 78738",11753835,Routine Inspection
Sparefoot,78705,12/20/2018,91,"3300 N IH
AUSTIN, TX 78705",11903616,Routine Inspection
Baby Acapulco #4,78753,09/11/2020,72,"13609 N IH
AUSTIN, TX 78753",2801593,Routine Inspection
Arby's,78729,09/12/2018,93,"13201 N FM 620 RD
AUSTIN, TX 78729",11848079,Routine Inspection
MN - Manor Express Mart,78653,06/10/2021,81,"12130 N FM 973 RD
MANOR, TX 78653",10188186,Routine Inspection
Pita Fusion,78750,03/17/2020,94,"13776 N US 183 HWY
AUSTIN, TX 78750",11503481,Routine Inspection
McDonald's  #11983,78744,01/09/2020,92,"6503 S IH
AUSTIN, TX 78744",2801778,Routine Inspection
Main Event,78729,02/05/2019,81,"13301 N US 183 HWY
AUSTIN, TX 78729",2802588,Routine Inspection
LW - Randall's #1779,78734,09/26/2018,100,"2301 S FM 620 RD
LAKEWAY, TX 78734",2803782,Routine Inspection
Mariana's Kitchen,78745,12/10/2019,88,"5510 S IH
AUSTIN, TX 78745",11514048,Routine Inspection
Sam's Club #8259 (Bakery),78748,07/02/2021,98,"9900 S IH
AUSTIN, TX 78748",10626768,Routine Inspection
Thirsty Turtle,78660,01/01/2019,90,"1200 W HOWARD LN
AUSTIN, TX 78660",11268694,Routine Inspection
Jim's Coffee Shop #30,78750,03/26/2019,93,"12832 N US 183 HWY
AUSTIN, TX 78750",2800319,Routine Inspection
S & SM Inc.,78722,09/23/2020,93,"3735 N IH
AUSTIN, TX 78722",10106835,Routine Inspection
Mt. Playmore,78753,12/28/2019,96,"13609 N IH
AUSTIN, TX 78753",11182637,Routine Inspection
LW - Gramercy,78734,04/14/2021,93,"1516 S FM 620 RD
LAKEWAY, TX 78734",12392641,Routine Inspection
Snap Kitchen,78746,04/03/2019,96,"6317 FM 2244 RD
AUSTIN, TX 78746
(30.296698, -97.833118)",10860778,Routine Inspection
Mandola's Italian Market,78751,01/02/2019,85,"4700 W GUADALUPE ST
AUSTIN, TX 78751
(30.315985, -97.732356)",2802671,Routine Inspection
Good Food and Drink,78612,03/05/2020,83,"5496 E SH
AUSTIN, TX 78612",11961644,Routine Inspection
MN - Subway,78653,08/09/2019,84,"11923 E US 290 HWY
MANOR, TX 78653
(30.349044, -97.543734)",11045391,Routine Inspection
Scenic Brook Food Mart,78735,07/21/2020,95,"7216 W SH
AUSTIN, TX 78735",2803458,Routine Inspection
River Ridge Elementary - Leander Elementary #23,78732,03/23/2021,100,"12900 TIERRA GRANDE TRL
AUSTIN, TX 78732
(30.345124, -97.916468)",10276728,Routine Inspection
Cornucopia Popcorn,78729,09/03/2020,92,"7318 MC NEIL DR
AUSTIN, TX 78729
(30.435103, -97.767339)",11563122,Routine Inspection
Gong Cha,78729,04/13/2020,98,"13201 N FM 620 RD
AUSTIN, TX 78729",12022270,Routine Inspection
Burger King #3990,78750,12/30/2019,91,"13450 N US 183 HWY
AUSTIN, TX 78750",11428794,Routine Inspection
BC - Simply Pho House,78738,05/13/2019,78,"12918 SHOPS PKWY
BEE CAVE, TX 78738
(30.306709, -97.944897)",11163304,Routine Inspection
Subway #22137,78726,03/23/2020,89,"7301 N FM 620 RD
AUSTIN, TX 78726
(30.405266, -97.853234)",12022058,Routine Inspection
SV - Wendy's W108,78749,01/13/2021,96,"4961 W US 290 HWY
SUNSET VALLEY, TX 78749",11119775,Routine Inspection
Randall's #2475- Bakery,78731,06/19/2019,92,"5311 BALCONES DR
AUSTIN, TX 78731
(30.335781, -97.758333)",10307237,Routine Inspection
Dominos Pizza,78754,06/22/2021,98,"9001 CAMERON RD
AUSTIN, TX 78754
(30.346501, -97.67724)",11626994,Routine Inspection
Austin Ale House,78701,03/08/2019,82,"301 W 6TH ST
AUSTIN, TX 78701
(30.268797, -97.74543)",10901152,Routine Inspection
Smoothie King,78753,05/06/2020,100,"12314 N IH
AUSTIN, TX 78753",12185779,Routine Inspection
Accent Food Services @ Arrive Logistics,78744,03/24/2021,100,"7701 METROPOLIS DR
AUSTIN, TX 78744
(30.207146, -97.693934)",12186035,Routine Inspection
BC - Bright Horizons at Bee Cave,78738,02/21/2019,91,"14058 BEE CAVE PKWY
BEE CAVE, TX 78738
(30.311354, -97.964223)",11233840,Routine Inspection
Blazier Elementary School,78744,04/15/2019,97,"8601 VERTEX BLVD
AUSTIN, TX 78744
(30.156278, -97.752948)",10066455,Routine Inspection
"Accent Food Services, LLC",78746,07/18/2019,98,"1501 S MOPAC EXPY
AUSTIN, TX 78746",11444576,Routine Inspection
Xian Noodles,78758,09/16/2019,71,"3401 ESPERANZA XING
AUSTIN, TX 78758
(30.400613, -97.726914)",11841772,Routine Inspection
Brew Market and Cafe,78722,02/22/2021,99,"3842 AIRPORT BLVD
AUSTIN, TX 78722
(30.288785, -97.707277)",2803723,Routine Inspection
Sarpino's Pizzeria,78750,03/04/2020,91,"10401 ANDERSON MILL RD
AUSTIN, TX 78750
(30.447139, -97.80562)",10461046,Routine Inspection
Julie's Handmade Noodles,78758,07/20/2020,73,"8557 RESEARCH BLVD
AUSTIN, TX 78758
(30.361033, -97.716672)",11534774,Routine Inspection
La Moreliana Meat Market #2,78744,08/24/2020,79,"1909 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.188056, -97.764473)",11565893,Routine Inspection
WL - Randall's Grocery #2477,78746,12/07/2020,97,"3300 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.2749, -97.801111)",2803947,Routine Inspection
Chi'Lantro - Parmer,78729,04/19/2021,95,"6301 W PARMER LN
AUSTIN, TX 78729
(30.445314, -97.743259)",12393135,Routine Inspection
COTA - SS Pizza Grand Plaza,78617,11/01/2019,97,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.134236, -97.645076)",11229109,Routine Inspection
SV - Mama Fu's,78745,10/18/2019,81,"5400 BRODIE LN
SUNSET VALLEY, TX 78745
(30.227718, -97.82159)",10517284,Routine Inspection
Shore Raw Bar & Grill,78736,11/07/2019,100,"8665 W SH
AUSTIN, TX 78736",12111145,Routine Inspection
Lima Criolla Peruvian Restaurant,78752,03/11/2021,84,"6406 N IH
AUSTIN, TX 78752",11386901,Routine Inspection
Serrano's Cafe Lakeline,78613,05/18/2021,80,"11100 PECAN PARK BLVD
AUSTIN, TX 78613
(30.472504, -97.802231)",2802680,Routine Inspection
Con Madre Kitchen,78749,03/26/2021,89,"8906 BRODIE LN
AUSTIN, TX 78749
(30.194794, -97.842717)",12394285,Routine Inspection
Sichuan River Restaurant,78745,03/22/2021,72,"4534 WEST GATE BLVD
AUSTIN, TX 78745
(30.230318, -97.800859)",11199927,Routine Inspection
Four Brothers Venezuelan Food,78745,07/05/2019,95,"2002 SOUTHERN OAKS DR
AUSTIN, TX 78745
(30.218815, -97.796058)",12002034,Routine Inspection
St David's South Hosp (Columbia),78745,06/27/2019,98,"901 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.227308, -97.773944)",2800266,Routine Inspection
Willie's Bar-B-Q,78721,06/18/2020,86,"4505 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78721
(30.285611, -97.684167)",2800081,Routine Inspection
Dine by Design,78757,11/08/2018,93,"7113 BURNET RD
AUSTIN, TX 78757
(30.347742, -97.736052)",2801555,Routine Inspection
Kentucky Fried Chicken,78741,10/31/2018,93,"2224 E RIVERSIDE DR
AUSTIN, TX 78741
(30.238678, -97.72594)",11789635,Routine Inspection
PF - McDonald's Restaurant,78660,11/17/2020,92,"1700 W PECAN ST
PFLUGERVILLE, TX 78660
(30.447321, -97.639642)",12392343,Routine Inspection
Kim Phung Vietnamese and Chinese Restaurant,78752,02/03/2021,79,"7601 N LAMAR BLVD
AUSTIN, TX 78752
(30.344378, -97.714521)",10009073,Routine Inspection
Meches Mexican Restaurant,78617,01/03/2019,83,"13602 FM 812 RD
AUSTIN, TX 78617
(30.123619, -97.638805)",11700658,Routine Inspection
Hilton Austin,78719,03/25/2020,94,"9515 HOTEL DR
AUSTIN, TX 78719
(30.212061, -97.663182)",2802487,Routine Inspection
Korean Grill,78753,07/15/2021,97,"10901 N LAMAR BLVD
AUSTIN, TX 78753
(30.37848, -97.688327)",10159246,Routine Inspection
OOB - Cianfrani Coffee Co.,78759,08/27/2019,95,"8303 N MOPAC EXPY
AUSTIN, TX 78759
(30.369135, -97.741587)",11975006,Routine Inspection
SV - Doc's Backyard,78745,02/02/2021,93,"5207 BRODIE LN
SUNSET VALLEY, TX 78745
(30.231596, -97.818902)",10058183,Routine Inspection
BC - Edible Arrangements #1705,78738,12/02/2020,97,"11905 FM 2244 RD
BEE CAVE, TX 78738",11958319,Routine Inspection
Barbara Jordan Elem School,78724,10/08/2019,96,"6711 JOHNNY MORRIS RD
AUSTIN, TX 78724
(30.300838, -97.647835)",2800461,Routine Inspection
IN-N-OUT BURGER,78704,11/19/2020,100,"3701 S LAMAR BLVD
AUSTIN, TX 78704
(30.238972, -97.788846)",11430869,Routine Inspection
Burger Tex,78751,09/25/2019,83,"5420 AIRPORT BLVD
AUSTIN, TX 78751
(30.316817, -97.713769)",2801685,Routine Inspection
Jimmy John's Gourmet Sandwiches,78759,06/01/2021,91,"10900 RESEARCH BLVD
AUSTIN, TX 78759
(30.401922, -97.746122)",11230944,Routine Inspection
Little Angels Daycare,78653,02/28/2019,97,"16407 DECKER CREEK DR
AUSTIN, TX 78653
(30.250408, -97.558622)",11162459,Routine Inspection
Italic,78701,12/17/2019,89,"123 W 6TH ST
AUSTIN, TX 78701
(30.268384, -97.743959)",11258844,Routine Inspection
PF - Los Amigos Market (Grocery/Produce),78660,04/20/2021,97,"15812 WINDERMERE DR
PFLUGERVILLE, TX 78660
(30.447473, -97.648368)",12186599,Routine Inspection
Highland Lanes Tavern,78757,11/07/2018,97,"8909 BURNET RD
AUSTIN, TX 78757
(30.37204, -97.726568)",2800489,Routine Inspection
Wells Branch Burger King,78660,01/08/2019,84,"1420 W WELLS BRANCH PKWY
AUSTIN, TX 78660
(30.440938, -97.663588)",11388129,Routine Inspection
TKO Nutrition,78660,10/02/2018,100,"2700 W PECAN ST
AUSTIN, TX 78660
(30.449334, -97.657083)",11811184,Routine Inspection
Papa John's Pizza #933,78728,01/24/2020,93,"2113 W WELLS BRANCH PKWY
AUSTIN, TX 78728",2800846,Routine Inspection
Whataburger #576,78752,08/27/2020,100,"6205 N LAMAR BLVD
AUSTIN, TX 78752
(30.330641, -97.723377)",2800537,Routine Inspection
Umi Sushi Bar & Grill,78745,06/15/2020,78,"5510 S IH
AUSTIN, TX 78745",2801677,Routine Inspection
"Meteor, The",78704,03/24/2021,92,"2110 S CONGRESS AVE
AUSTIN, TX 78704
(30.242828, -97.752196)",12186126,Routine Inspection
Dog Haus,78757,12/22/2020,87,"8023 BURNET RD
AUSTIN, TX 78757
(30.359155, -97.73005)",12392982,Routine Inspection
Circle K Store #2704673,78744,06/15/2020,84,"8801 S IH
AUSTIN, TX 78744",10758077,Routine Inspection
Pinkberry 205,78746,05/28/2021,99,"2901 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.255443, -97.810066)",11250157,Routine Inspection
SV - Tarka Indian Kitchen,78745,06/09/2021,78,"5207 BRODIE LN
SUNSET VALLEY, TX 78745
(30.231596, -97.818902)",10333486,Routine Inspection
Pioneer Crossing Cafeteria,78754,11/04/2019,100,"11300 SAMSUNG BLVD
AUSTIN, TX 78754
(30.361418, -97.639371)",10307208,Routine Inspection
Las Cazuelas #2,78660,12/30/2020,74,"2700 W PECAN ST
AUSTIN, TX 78660
(30.449334, -97.657083)",11768063,Routine Inspection
Asia Cafe,78759,11/21/2019,84,"8650 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.433558, -97.771837)",11219982,Routine Inspection
Luca Villa Pizza,78613,05/03/2019,97,"11200 LAKELINE MALL DR
AUSTIN, TX 78613
(30.47181, -97.803451)",2800826,Routine Inspection
Yellow Jacket Social Club,78702,08/20/2018,89,"1704 E 5TH ST
AUSTIN, TX 78702
(30.261382, -97.724652)",10428064,Routine Inspection
WL-Trianon Coffee,78746,12/10/2019,85,"3654 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.279246, -97.806703)",12033189,Routine Inspection
Subway #51421,78717,08/13/2020,88,"10900 LAKELINE MALL DR
AUSTIN, TX 78717
(30.475151, -97.794525)",12186164,Routine Inspection
Restaurant El Rinconcito Chapin,78752,11/05/2018,90,"6539 N LAMAR BLVD
AUSTIN, TX 78752
(30.333819, -97.721377)",11795263,Routine Inspection
Kerbey Lane Cafe,78729,07/01/2020,96,"13435 N US 183 HWY
AUSTIN, TX 78729",10162925,Routine Inspection
Edible Arrangements,78703,04/01/2020,93,"507 PRESSLER ST
AUSTIN, TX 78703
(30.273318, -97.76052)",10637849,Routine Inspection
"Landing Strip, The",78742,03/25/2021,80,"745 BASTROP HWY
AUSTIN, TX 78742
(30.233567, -97.684433)",2801596,Routine Inspection
LW - Sandeez Hamburger Hut,78734,03/12/2019,72,"113 N FM 620 RD
LAKEWAY, TX 78734",11963248,Routine Inspection
Randall's #2481 (Retail),78703,01/25/2021,100,"1500 W 35TH ST
AUSTIN, TX 78703
(30.306155, -97.749474)",2803470,Routine Inspection
7-Eleven Convenience Store #25445A,78753,02/12/2021,85,"8900 N LAMAR BLVD
AUSTIN, TX 78753
(30.358041, -97.69987)",10221183,Routine Inspection
Wagabag #19,78732,01/23/2019,98,"2900 N QUINLAN PARK RD
AUSTIN, TX 78732
(30.368684, -97.893093)",2803935,Routine Inspection
Randall's # 2987 Bakery,78732,01/07/2021,100,"5145 N FM 620 RD
AUSTIN, TX 78732
(30.390328, -97.884583)",10720273,Routine Inspection
Phonatic,78752,05/05/2021,84,"7601 N LAMAR BLVD
AUSTIN, TX 78752
(30.344378, -97.714521)",11049531,Routine Inspection
Pei Wei Asian Diner,78704,10/15/2020,84,"4200 S LAMAR BLVD
AUSTIN, TX 78704
(30.235244, -97.794812)",2802412,Routine Inspection
Onion Creek Country Club,78747,04/21/2021,84,"2510 ONION CREEK PKWY
AUSTIN, TX 78747
(30.136463, -97.789207)",12185622,Routine Inspection
Moonie's Burger House,78758,07/23/2019,96,"12001 BURNET RD
AUSTIN, TX 78758
(30.408019, -97.713677)",11868806,Routine Inspection
Kentucky Fried Chicken,78727,01/22/2020,89,"1700 W PARMER LN
AUSTIN, TX 78727
(30.412512, -97.688909)",11789529,Routine Inspection
El Buen Samaritano Episcopal Mission,78745,08/17/2020,89,"7000 WOODHUE DR
AUSTIN, TX 78745
(30.198727, -97.800541)",10524891,Routine Inspection
New World Deli,78751,03/24/2020,93,"4101 GUADALUPE ST
AUSTIN, TX 78751
(30.306552, -97.735725)",2801233,Routine Inspection
OOB Towne Place Suites by Marriott,78745,06/03/2021,92,"901 LITTLE TEXAS LN
BLDG G AUSTIN, TX 78745
(30.197961, -97.767334)",12186523,Routine Inspection
Amy's Ice Cream,78759,01/02/2020,94,"10000 RESEARCH BLVD
AUSTIN, TX 78759
(30.392352, -97.746845)",2800416,Routine Inspection
Sonic Drive-In #1507,78753,12/17/2020,93,"9325 N LAMAR BLVD
AUSTIN, TX 78753
(30.362817, -97.69719)",12392846,Routine Inspection
Webb Middle School,78752,10/15/2020,99,"601 E ST JOHNS AVE
AUSTIN, TX 78752
(30.333921, -97.706498)",2800006,Routine Inspection
Chipotle Mexican Grill #1008,78748,10/25/2018,97,"9600 S IH
AUSTIN, TX 78748",10178947,Routine Inspection
Vaqueros Cafe,78746,03/26/2019,88,"1801 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.270926, -97.817687)",11745160,Routine Inspection
Dessau Elementary,78754,08/22/2018,96,"1501 DESSAU RIDGE LN
AUSTIN, TX 78754
(30.401193, -97.643006)",2800675,Routine Inspection
Twin Peaks,78745,02/01/2021,96,"701 E STASSNEY LN
AUSTIN, TX 78745
(30.2, -97.77)",10080943,Routine Inspection
Ben White Shell,78745,06/05/2019,95,"2125 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.231155, -97.791658)",2803759,Routine Inspection
Sonic Drive - In #3874,78741,06/10/2021,97,"1901 MONTOPOLIS DR
AUSTIN, TX 78741
(30.22586, -97.702846)",12393072,Routine Inspection
Family Business Beer Company,78620,11/01/2019,97,"19510 HAMILTON POOL RD
DRIPPING SPRINGS, TX 78620
(30.291006, -98.075811)",11677165,Routine Inspection
"Cloak Room, The",78701,09/24/2018,99,"1300 COLORADO ST
AUSTIN, TX 78701
(30.274977, -97.742167)",2800086,Routine Inspection
"Belmont, The",78701,08/23/2018,94,"305 W 6TH ST
AUSTIN, TX 78701
(30.268843, -97.745603)",10945429,Routine Inspection
Hyde Park Baptist Church,78751,10/03/2019,89,"3901 SPEEDWAY
AUSTIN, TX 78751
(30.302424, -97.732364)",2802286,Routine Inspection
CVS/Pharmacy #0213,78745,01/22/2021,100,"5526 S CONGRESS AVE
AUSTIN, TX 78745
(30.205419, -97.774605)",10030528,Routine Inspection
Blanton Elementary,78723,09/10/2018,95,"5408 WESTMINSTER DR
AUSTIN, TX 78723
(30.306645, -97.689638)",2800597,Routine Inspection
Alpha Chi Omega,78705,11/08/2018,88,"2420 NUECES ST
AUSTIN, TX 78705
(30.288902, -97.742994)",2800068,Routine Inspection
Deep Eddy Cabaret,78703,11/06/2019,100,"2315 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.278038, -97.772471)",11386831,Routine Inspection
7-Eleven Convenience Store #36680A,78722,05/28/2020,89,"3848 AIRPORT BLVD
AUSTIN, TX 78722
(30.290012, -97.707435)",11519680,Routine Inspection
Tarka Indian Kitchen,78758,12/04/2018,94,"11501 ROCK ROSE AVE
AUSTIN, TX 78758
(30.401102, -97.722763)",11404881,Routine Inspection
Royal Blue Grocery,78701,11/12/2020,98,"609 CONGRESS AVE
AUSTIN, TX 78701
(30.268448, -97.742664)",10527898,Routine Inspection
McDonald's # 12430,78731,12/14/2020,91,"5762 N MOPAC EXPY
AUSTIN, TX 78731
(30.339003, -97.754988)",12045842,Routine Inspection
Manchaca United Methodist CDC,78652,12/10/2018,98,"1011 W FM 1626 RD
AUSTIN, TX 78652",2801873,Routine Inspection
Modmarket DBA Modern Market,78701,05/05/2021,93,"401 CONGRESS AVE
AUSTIN, TX 78701
(30.266187, -97.743476)",11800251,Routine Inspection
"Magellan International School, The",78731,06/15/2020,100,"7130 CHIMNEY CORNERS
AUSTIN, TX 78731
(30.357964, -97.760539)",10438602,Routine Inspection
Austin English Tea Company,78750,02/09/2021,100,"12233 N FM 620 RD
AUSTIN, TX 78750
(30.4544, -97.8267)",12392715,Routine Inspection
Osio,78746,12/02/2020,95,"2901 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.255443, -97.810066)",11321694,Routine Inspection
Two Spoons,78735,06/02/2020,91,"7212 W SH
AUSTIN, TX 78735",11825080,Routine Inspection
Bailey Middle School,78739,09/14/2018,99,"4020 LOST OASIS HOLW
AUSTIN, TX 78739
(30.163846, -97.873724)",2800881,Routine Inspection
Siena Restaurant at Bull Creek,78731,12/15/2020,91,"6203 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78731
(30.360309, -97.790126)",2801518,Routine Inspection
Top Notch,78757,11/01/2018,91,"7525 BURNET RD
AUSTIN, TX 78757
(30.351319, -97.7338)",10427418,Routine Inspection
Oasis Pizza and Cafe,78728,07/16/2020,91,"14735 BRATTON LN
AUSTIN, TX 78728
(30.446424, -97.686119)",12186288,Routine Inspection
Vitamin Cottage Natural Food Markets,78759,02/02/2021,96,"10515 N MOPAC EXPY
AUSTIN, TX 78759
(30.392572, -97.732892)",10492569,Routine Inspection
"Cups and Cones, LLC",78732,07/15/2021,96,"2900 N QUINLAN PARK RD
AUSTIN, TX 78732
(30.368684, -97.893093)",10046868,Routine Inspection
SV-Bao'd Up,78745,06/14/2021,92,"5207 BRODIE LN
SUNSET VALLEY, TX 78745
(30.231596, -97.818902)",12186156,Routine Inspection
Child Inc. - Rosewood Zaragosa,78702,12/07/2018,100,"2800 WEBBERVILLE RD
AUSTIN, TX 78702
(30.265057, -97.709684)",2800504,Routine Inspection
Flores on the Bend,78734,01/20/2021,94,"5000 HUDSON BEND RD
AUSTIN, TX 78734
(30.412377, -97.926997)",12393229,Routine Inspection
Bryker Woods Elementary,78703,04/05/2019,94,"3309 KERBEY LN
AUSTIN, TX 78703
(30.305365, -97.751457)",2800206,Routine Inspection
Jeffrey's Restaurant and Bar,78703,09/23/2019,88,"1204 WEST LYNN ST
AUSTIN, TX 78703
(30.280396, -97.758991)",10926835,Routine Inspection
Rusty Cannon Pub,78745,07/12/2019,76,"730 W STASSNEY LN
AUSTIN, TX 78745
(30.209029, -97.78292)",11459172,Routine Inspection
Pok-E-Jo's Hancock,78751,03/03/2020,90,"1000 E 41ST ST
AUSTIN, TX 78751
(30.298553, -97.720058)",2803036,Routine Inspection
MOD Pizza,78748,09/23/2020,86,"9600 S IH
AUSTIN, TX 78748",11779206,Routine Inspection
Summer Moon Coffee,78757,07/20/2020,91,"2301 W ANDERSON LN
AUSTIN, TX 78757
(30.355708, -97.730055)",11934290,Routine Inspection
Candlewood Suites Austin N,78754,01/29/2020,100,"8000 CROSS PARK DR
AUSTIN, TX 78754",12134127,Routine Inspection
Perry's Steakhouse & Grille,78758,03/24/2021,86,"11801 DOMAIN BLVD
AUSTIN, TX 78758
(30.404828, -97.721309)",12182712,Routine Inspection
Paris in a Bite,78746,09/19/2018,99,"3801 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.336732, -97.805146)",11862861,Routine Inspection
Walmart #5479,78660,04/07/2021,94,"1548 FM 685 RD
PFLUGERVILLE, TX 78660
(30.452291, -97.604211)",12392699,Routine Inspection
Split Level,78701,08/22/2018,93,"300 E 6TH ST
AUSTIN, TX 78701
(30.267328, -97.74022)",10939459,Routine Inspection
Popeyes # 305 - Z & H Inc,78741,03/10/2020,87,"2919 MONTOPOLIS DR
AUSTIN, TX 78741
(30.214013, -97.711105)",11423173,Routine Inspection
Marbridge Foundation-Winters,78652,04/18/2019,91,"2310 BLISS SPILLAR RD
AUSTIN, TX 78652
(30.136879, -97.856197)",2800658,Routine Inspection
Wheatsville Food Co-Op,78704,01/03/2019,93,"4001 S LAMAR BLVD
AUSTIN, TX 78704
(30.235825, -97.792954)",11011914,Routine Inspection
Indian Delights,78751,04/28/2021,72,"5610 N IH
AUSTIN, TX 78751",12394036,Routine Inspection
PF - Shogun Japanese Grill & Sushi Bar,78660,07/22/2020,72,"18816 LIMESTONE COMMERCIAL DR
PFLUGERVILLE, TX 78660
(30.468797, -97.595887)",12186587,Routine Inspection
MN - Starbucks # 26036,78653,01/19/2021,95,"12608 LEXINGTON ST
MANOR, TX 78653
(30.349739, -97.555951)",11474011,Routine Inspection
BC - Whole Foods Market - Produce,78738,01/10/2020,100,"12601 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.307885, -97.937525)",10744462,Routine Inspection
OOB - Sushi Hi,78705,12/12/2019,88,"2912 GUADALUPE ST
AUSTIN, TX 78705
(30.295831, -97.742525)",11816413,Routine Inspection
House Park Bar-B-Que,78703,04/06/2020,85,"900 W 12TH ST
AUSTIN, TX 78703
(30.276593, -97.750441)",2800400,Routine Inspection
Rain on 4th,78701,01/28/2020,87,"217 W 4TH ST
AUSTIN, TX 78701
(30.266774, -97.745586)",2802019,Routine Inspection
Pappadeaux,78759,01/21/2021,92,"11617 RESEARCH BLVD
AUSTIN, TX 78759
(30.415495, -97.74577)",11630886,Routine Inspection
Hyde Park Bar and Grill,78751,01/31/2020,86,"4206 DUVAL ST
AUSTIN, TX 78751
(30.304088, -97.726463)",2800046,Routine Inspection
Daily Juice Cafe,78753,01/02/2019,96,"500 CANYON RIDGE DR
AUSTIN, TX 78753
(30.403174, -97.672214)",11512088,Routine Inspection
Onion Creek Food Mart,78747,01/14/2020,87,"2107 BOCA RATON DR
AUSTIN, TX 78747
(30.139514, -97.795546)",10194058,Routine Inspection
Detour Domain,78758,10/28/2019,96,"11101 BURNET RD
AUSTIN, TX 78758
(30.396129, -97.720128)",10388239,Routine Inspection
Juiceland,78704,12/26/2018,93,"2210 S 1ST ST
AUSTIN, TX 78704
(30.243871, -97.758094)",11919423,Routine Inspection
Cedar Creek Elem. School,78746,10/29/2019,100,"3301 PINNACLE RD
AUSTIN, TX 78746
(30.269774, -97.806002)",2800381,Routine Inspection
Lotus Hunan Chinese Restaurant,78746,05/29/2020,91,"3201 BEE CAVES RD
AUSTIN, TX 78746
(30.273599, -97.799243)",10770063,Routine Inspection
Omni Austin,78701,02/11/2019,87,"701 BRAZOS ST
AUSTIN, TX 78701
(30.269153, -97.740924)",2801149,Routine Inspection
7 - Eleven # 36641A,78745,10/21/2019,98,"3431 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.21351, -97.829978)",11631190,Routine Inspection
PF - Smoothie King,78660,09/08/2020,97,"18701 LIMESTONE COMMERCIAL DR
PFLUGERVILLE, TX 78660
(30.465594, -97.597301)",12186650,Routine Inspection
Tomgro Grocery,78741,09/05/2019,91,"1313 MONTOPOLIS DR
AUSTIN, TX 78741
(30.23023, -97.700075)",2803758,Routine Inspection
Parsons House @ Austin,78752,06/04/2020,82,"1130 CAMINO LA
AUSTIN, TX 78752",2802410,Routine Inspection
Austin Oaks Hospital,78745,12/17/2018,97,"1407 W STASSNEY LN
AUSTIN, TX 78745
(30.212314, -97.791324)",10929524,Routine Inspection
C-Boy's Heart & Soul,78704,06/16/2021,98,"2008 S CONGRESS AVE
AUSTIN, TX 78704
(30.24369, -97.751871)",11066944,Routine Inspection
Whistle Stop Grocery/La Mexicana,78753,03/09/2020,89,"834 E RUNDBERG LN
AUSTIN, TX 78753
(30.357262, -97.686159)",2803636,Routine Inspection
Launderette,78702,06/25/2019,89,"2115 HOLLY ST
AUSTIN, TX 78702
(30.252193, -97.722601)",11262665,Routine Inspection
Fresh Plus,78703,05/20/2020,96,"1221 WEST LYNN ST
AUSTIN, TX 78703
(30.280943, -97.758636)",10082179,Routine Inspection
Cabo Bob's Burritos,78705,07/29/2020,92,"2828 RIO GRANDE ST
AUSTIN, TX 78705
(30.295689, -97.743901)",11026344,Routine Inspection
VIA 313 Pizza,78705,08/01/2019,92,"3016 GUADALUPE ST
AUSTIN, TX 78705
(30.297432, -97.741505)",11485756,Routine Inspection
MN-Country Boyz Fixins,78653,06/25/2019,92,"101 N LEXINGTON ST
MANOR, TX 78653
(30.341398, -97.557848)",12123072,Routine Inspection
Smart Stop,78704,04/29/2020,95,"2700 S CONGRESS AVE
AUSTIN, TX 78704
(30.235352, -97.756504)",11120596,Routine Inspection
